customer_id,budget_ngn,primary_use,camera_priority,battery_priority,performance_priority,storage_priority,brand_preference,data_source
SYN-0074,2108000,student,medium,high,low,high,TECNO,synthetic
SYN-0075,618000,general,medium,high,high,low,Any,synthetic
SYN-0076,101000,general,high,medium,medium,medium,Any,synthetic
SYN-0077,71000,camera,medium,low,medium,low,Any,synthetic
SYN-0078,250000,general,low,low,low,low,itel,synthetic
SYN-0079,109000,gaming,medium,medium,high,low,Any,synthetic
SYN-0080,131000,social_media,high,low,high,high,Infinix,synthetic
SYN-0081,525000,work,medium,high,high,high,Any,synthetic
SYN-0082,219000,student,high,low,low,high,TECNO,synthetic
SYN-0083,138000,student,medium,medium,low,high,Infinix,synthetic
SYN-0084,181000,gaming,medium,medium,high,medium,Any,synthetic
SYN-0085,395000,gaming,medium,high,high,medium,Any,synthetic
SYN-0086,204000,gaming,medium,high,high,high,Any,synthetic
SYN-0087,80000,work,medium,medium,high,low,Xiaomi,synthetic
SYN-0088,524000,student,medium,medium,high,low,Any,synthetic
SYN-0089,803000,social_media,high,high,high,high,TECNO,synthetic
SYN-0090,191000,social_media,high,medium,medium,medium,TECNO,synthetic
SYN-0091,256000,general,high,low,medium,high,Infinix,synthetic
SYN-0092,90000,work,low,low,high,medium,Any,synthetic
SYN-0093,60000,social_media,medium,high,medium,high,Any,synthetic
SYN-0094,381000,general,high,high,low,medium,Samsung,synthetic
SYN-0095,276000,general,low,high,low,low,Infinix,synthetic
SYN-0096,117000,work,high,medium,high,high,Any,synthetic
SYN-0097,407000,student,medium,high,medium,medium,itel,synthetic
SYN-0098,1236000,social_media,medium,high,medium,medium,Any,synthetic
SYN-0099,406000,gaming,high,high,medium,medium,Infinix,synthetic
SYN-0100,78000,work,high,medium,high,medium,Infinix,synthetic
SYN-0101,538000,work,medium,high,medium,medium,Any,synthetic
SYN-0102,113000,gaming,medium,high,high,high,Infinix,synthetic
SYN-0103,380000,student,medium,high,low,high,itel,synthetic
SYN-0104,125000,student,medium,low,high,high,Any,synthetic
SYN-0105,111000,work,medium,medium,high,high,Infinix,synthetic
SYN-0106,81000,student,low,medium,high,medium,itel,synthetic
SYN-0107,379000,student,low,medium,high,low,Any,synthetic
SYN-0108,279000,general,high,medium,medium,high,Any,synthetic
SYN-0109,973000,camera,high,low,low,medium,Any,synthetic
SYN-0110,302000,work,medium,low,high,medium,TECNO,synthetic
SYN-0111,177000,student,low,medium,medium,medium,Samsung,synthetic
SYN-0112,243000,camera,high,high,medium,low,Any,synthetic
SYN-0113,216000,camera,high,medium,low,low,Any,synthetic
SYN-0114,354000,work,high,medium,high,high,Any,synthetic
SYN-0115,232000,social_media,medium,medium,medium,medium,Samsung,synthetic
SYN-0116,118000,general,low,low,low,high,Infinix,synthetic
SYN-0117,250000,student,low,medium,high,low,Samsung,synthetic
SYN-0118,76000,general,medium,medium,high,high,Any,synthetic
SYN-0119,608000,gaming,low,high,high,high,Any,synthetic
SYN-0120,292000,general,high,low,high,medium,Any,synthetic
SYN-0121,103000,student,medium,high,medium,medium,Any,synthetic
SYN-0122,795000,general,medium,low,low,low,Any,synthetic
SYN-0123,649000,social_media,low,high,medium,high,Any,synthetic
SYN-0124,141000,work,high,medium,high,high,Any,synthetic
SYN-0125,207000,social_media,high,low,low,high,itel,synthetic
SYN-0126,313000,camera,high,medium,high,high,Any,synthetic
SYN-0127,293000,camera,medium,medium,low,medium,Xiaomi,synthetic
SYN-0128,104000,camera,high,medium,high,low,TECNO,synthetic
SYN-0129,255000,general,medium,medium,low,low,Any,synthetic
SYN-0130,113000,gaming,medium,low,high,low,Infinix,synthetic
SYN-0131,163000,social_media,high,high,medium,high,Infinix,synthetic
SYN-0132,574000,work,medium,low,high,high,Infinix,synthetic
SYN-0133,2055000,social_media,high,medium,low,high,TECNO,synthetic
SYN-0134,2444000,camera,high,high,high,medium,itel,synthetic
SYN-0135,372000,social_media,high,high,high,medium,TECNO,synthetic
SYN-0136,88000,social_media,high,high,medium,medium,Infinix,synthetic
SYN-0137,62000,work,high,low,high,high,TECNO,synthetic
SYN-0138,64000,camera,medium,low,medium,medium,Any,synthetic
SYN-0139,383000,gaming,medium,high,medium,low,Google Pixel,synthetic
SYN-0140,714000,student,medium,medium,high,low,Any,synthetic
SYN-0141,146000,general,high,low,medium,high,Any,synthetic
SYN-0142,1492000,student,high,low,medium,high,TECNO,synthetic
SYN-0143,184000,student,low,medium,low,high,TECNO,synthetic
SYN-0144,343000,student,medium,high,medium,medium,Infinix,synthetic
SYN-0145,330000,camera,high,low,low,medium,Infinix,synthetic
SYN-0146,637000,general,medium,low,medium,low,itel,synthetic
SYN-0147,696000,social_media,high,low,medium,medium,Samsung,synthetic
SYN-0148,162000,camera,high,medium,low,high,Infinix,synthetic
SYN-0149,464000,work,medium,medium,high,medium,Any,synthetic
SYN-0150,573000,student,low,medium,medium,medium,Any,synthetic
SYN-0151,450000,work,low,high,high,low,TECNO,synthetic
SYN-0152,261000,social_media,medium,high,high,medium,Any,synthetic
SYN-0153,496000,social_media,high,medium,medium,medium,Any,synthetic
SYN-0154,152000,camera,high,high,medium,low,Any,synthetic
SYN-0155,1281000,work,low,medium,high,low,Any,synthetic
SYN-0156,66000,social_media,high,high,medium,medium,Any,synthetic
SYN-0157,304000,camera,low,medium,medium,high,Any,synthetic
SYN-0158,102000,social_media,high,medium,high,medium,Any,synthetic
SYN-0159,67000,work,medium,medium,medium,high,Infinix,synthetic
SYN-0160,481000,gaming,high,high,high,medium,Any,synthetic
SYN-0161,568000,camera,high,low,medium,medium,Any,synthetic
SYN-0162,929000,gaming,high,high,high,high,Any,synthetic
SYN-0163,588000,gaming,high,high,medium,medium,Any,synthetic
SYN-0164,121000,student,medium,medium,medium,low,Any,synthetic
SYN-0165,386000,student,high,low,medium,high,Any,synthetic
SYN-0166,358000,social_media,high,high,high,low,Any,synthetic
SYN-0167,69000,student,medium,low,medium,medium,Infinix,synthetic
SYN-0168,89000,general,medium,low,medium,low,TECNO,synthetic
SYN-0169,296000,gaming,low,high,high,low,Any,synthetic
SYN-0170,441000,gaming,low,high,low,medium,Any,synthetic
SYN-0171,1237000,social_media,high,high,medium,medium,Xiaomi,synthetic
SYN-0172,644000,gaming,low,medium,high,high,TECNO,synthetic
SYN-0173,138000,gaming,low,high,high,low,Any,synthetic
SYN-0174,233000,work,high,low,high,high,TECNO,synthetic
SYN-0175,183000,camera,high,low,high,low,Any,synthetic
SYN-0176,385000,work,medium,medium,high,low,Infinix,synthetic
SYN-0177,305000,general,medium,medium,medium,high,Any,synthetic
SYN-0178,203000,social_media,medium,high,high,low,Apple,synthetic
SYN-0179,925000,social_media,medium,high,low,high,Infinix,synthetic
SYN-0180,96000,work,medium,medium,high,low,Any,synthetic
SYN-0181,980000,general,medium,medium,high,low,Any,synthetic
SYN-0182,139000,work,medium,medium,high,high,Any,synthetic
SYN-0183,115000,general,high,low,low,low,Any,synthetic
SYN-0184,267000,work,high,medium,high,high,Any,synthetic
SYN-0185,65000,camera,high,high,low,low,Any,synthetic
SYN-0186,69000,student,medium,high,medium,medium,Any,synthetic
SYN-0187,1247000,camera,high,medium,medium,medium,Any,synthetic
SYN-0188,71000,gaming,low,high,high,low,Any,synthetic
SYN-0189,388000,work,high,low,high,high,Any,synthetic
SYN-0190,81000,social_media,high,high,high,low,Any,synthetic
SYN-0191,343000,general,medium,medium,medium,low,TECNO,synthetic
SYN-0192,363000,gaming,high,high,high,low,Any,synthetic
SYN-0193,453000,general,high,medium,high,high,Any,synthetic
SYN-0194,194000,camera,high,medium,medium,medium,Samsung,synthetic
SYN-0195,239000,work,medium,medium,low,high,Any,synthetic
SYN-0196,400000,student,medium,high,high,high,TECNO,synthetic
SYN-0197,209000,work,medium,medium,high,high,Any,synthetic
SYN-0198,404000,student,high,medium,high,low,Infinix,synthetic
SYN-0199,179000,general,medium,low,low,medium,TECNO,synthetic
SYN-0200,270000,work,medium,medium,high,high,Any,synthetic
SYN-0201,656000,general,low,high,high,low,Oppo,synthetic
SYN-0202,146000,general,medium,high,medium,low,TECNO,synthetic
SYN-0203,117000,social_media,high,high,high,medium,Any,synthetic
SYN-0204,1338000,social_media,high,medium,medium,high,Any,synthetic
SYN-0205,319000,gaming,medium,high,high,low,Any,synthetic
SYN-0206,230000,camera,medium,medium,low,low,Samsung,synthetic
SYN-0207,239000,camera,high,high,low,medium,Any,synthetic
SYN-0208,258000,camera,low,medium,high,medium,Any,synthetic
SYN-0209,67000,student,low,high,low,medium,TECNO,synthetic
SYN-0210,388000,camera,high,medium,low,medium,Any,synthetic
SYN-0211,346000,student,medium,medium,low,medium,TECNO,synthetic
SYN-0212,393000,student,low,high,high,medium,TECNO,synthetic
SYN-0213,213000,general,high,low,medium,high,Any,synthetic
SYN-0214,95000,camera,medium,high,high,medium,itel,synthetic
SYN-0215,83000,general,high,high,medium,medium,TECNO,synthetic
SYN-0216,87000,gaming,low,medium,low,high,Infinix,synthetic
SYN-0217,583000,general,high,high,low,high,Any,synthetic
SYN-0218,225000,student,medium,high,medium,high,TECNO,synthetic
SYN-0219,737000,social_media,medium,low,medium,low,Samsung,synthetic
SYN-0220,1201000,social_media,high,high,medium,medium,Any,synthetic
SYN-0221,748000,student,medium,high,high,high,Any,synthetic
SYN-0222,72000,social_media,high,high,high,medium,Any,synthetic
SYN-0223,583000,work,high,low,low,high,Xiaomi,synthetic
SYN-0224,178000,camera,high,medium,high,medium,Any,synthetic
SYN-0225,66000,general,high,low,low,medium,Any,synthetic
SYN-0226,2313000,general,medium,medium,medium,medium,Any,synthetic
SYN-0227,634000,social_media,medium,medium,medium,high,Any,synthetic
SYN-0228,974000,work,low,medium,high,high,Any,synthetic
SYN-0229,364000,social_media,high,high,low,low,Any,synthetic
SYN-0230,118000,gaming,medium,medium,medium,low,Any,synthetic
SYN-0231,395000,social_media,medium,medium,medium,high,Any,synthetic
SYN-0232,119000,work,high,high,low,medium,Any,synthetic
SYN-0233,1123000,social_media,high,high,high,medium,Any,synthetic
SYN-0234,172000,general,high,medium,medium,low,Any,synthetic
SYN-0235,460000,general,low,low,medium,medium,Infinix,synthetic
SYN-0236,2442000,student,high,medium,medium,medium,Apple,synthetic
SYN-0237,61000,student,low,high,low,high,Infinix,synthetic
SYN-0238,302000,general,low,low,low,high,Oppo,synthetic
SYN-0239,168000,student,medium,low,medium,high,itel,synthetic
SYN-0240,69000,gaming,medium,low,high,medium,Any,synthetic
SYN-0241,968000,social_media,medium,medium,high,medium,TECNO,synthetic
SYN-0242,281000,camera,high,medium,medium,low,TECNO,synthetic
SYN-0243,455000,student,medium,medium,medium,high,Samsung,synthetic
SYN-0244,321000,student,medium,low,high,medium,Any,synthetic
SYN-0245,238000,gaming,medium,medium,high,medium,Infinix,synthetic
SYN-0246,332000,gaming,medium,low,medium,high,TECNO,synthetic
SYN-0247,139000,general,medium,medium,high,high,Any,synthetic
SYN-0248,267000,camera,high,low,high,low,Any,synthetic
SYN-0249,451000,general,medium,high,high,medium,Any,synthetic
SYN-0250,217000,camera,high,high,medium,medium,Apple,synthetic
SYN-0251,62000,work,low,low,medium,high,Any,synthetic
SYN-0252,320000,gaming,low,high,low,medium,Any,synthetic
SYN-0253,134000,student,medium,low,low,medium,Infinix,synthetic
SYN-0254,134000,student,medium,medium,low,high,Google Pixel,synthetic
SYN-0255,113000,general,high,high,high,medium,Any,synthetic
SYN-0256,176000,general,medium,high,high,high,TECNO,synthetic
SYN-0257,92000,social_media,medium,low,low,high,TECNO,synthetic
SYN-0258,1347000,work,low,high,medium,medium,Infinix,synthetic
SYN-0259,290000,work,high,medium,low,high,Any,synthetic
SYN-0260,453000,camera,medium,medium,low,high,Any,synthetic
SYN-0261,65000,general,low,low,low,high,Xiaomi,synthetic
SYN-0262,389000,social_media,high,low,medium,low,Any,synthetic
SYN-0263,201000,gaming,medium,high,low,low,TECNO,synthetic
SYN-0264,290000,camera,medium,medium,low,high,Oppo,synthetic
SYN-0265,125000,social_media,medium,medium,medium,high,Oppo,synthetic
SYN-0266,73000,gaming,low,medium,high,medium,Any,synthetic
SYN-0267,96000,general,medium,high,medium,medium,Google Pixel,synthetic
SYN-0268,174000,student,high,high,medium,medium,Any,synthetic
SYN-0269,159000,camera,high,high,medium,low,TECNO,synthetic
SYN-0270,74000,general,medium,high,medium,low,Any,synthetic
SYN-0271,82000,work,high,medium,high,high,TECNO,synthetic
SYN-0272,286000,social_media,high,high,low,medium,Any,synthetic
SYN-0273,99000,general,low,low,low,medium,Any,synthetic
SYN-0274,459000,general,medium,high,medium,low,TECNO,synthetic
SYN-0275,115000,gaming,medium,high,medium,medium,TECNO,synthetic
SYN-0276,140000,gaming,medium,medium,high,medium,Any,synthetic
SYN-0277,126000,student,medium,high,medium,low,Samsung,synthetic
SYN-0278,139000,student,medium,medium,low,high,TECNO,synthetic
SYN-0279,562000,general,medium,high,medium,low,Any,synthetic
SYN-0280,362000,student,medium,high,medium,medium,Any,synthetic
SYN-0281,657000,social_media,medium,medium,low,high,Samsung,synthetic
SYN-0282,217000,camera,high,medium,medium,medium,Any,synthetic
SYN-0283,576000,work,low,high,medium,medium,Infinix,synthetic
SYN-0284,118000,gaming,high,low,low,medium,TECNO,synthetic
SYN-0285,181000,social_media,low,medium,medium,high,Any,synthetic
SYN-0286,517000,gaming,high,high,high,low,Any,synthetic
SYN-0287,219000,camera,high,medium,medium,high,Any,synthetic
SYN-0288,97000,student,low,high,low,high,Any,synthetic
SYN-0289,460000,student,low,high,high,medium,itel,synthetic
SYN-0290,533000,general,high,medium,low,low,Any,synthetic
SYN-0291,239000,general,low,low,high,low,Any,synthetic
SYN-0292,599000,gaming,medium,high,high,medium,Samsung,synthetic
SYN-0293,112000,student,high,high,medium,low,Infinix,synthetic
SYN-0294,260000,gaming,medium,low,high,low,Any,synthetic
SYN-0295,316000,general,high,medium,low,medium,Any,synthetic
SYN-0296,426000,gaming,medium,high,medium,medium,Any,synthetic
SYN-0297,791000,gaming,low,medium,high,high,Any,synthetic
SYN-0298,92000,student,medium,low,low,medium,Any,synthetic
SYN-0299,243000,general,medium,medium,medium,medium,Any,synthetic
SYN-0300,79000,work,low,low,medium,high,Any,synthetic
SYN-0301,156000,general,low,high,low,high,Any,synthetic
SYN-0302,281000,work,medium,high,high,medium,Any,synthetic
SYN-0303,259000,student,high,high,low,high,Any,synthetic
SYN-0304,1374000,general,low,medium,low,low,Samsung,synthetic
SYN-0305,322000,general,medium,medium,medium,low,TECNO,synthetic
SYN-0306,1082000,gaming,medium,high,high,medium,Any,synthetic
SYN-0307,302000,social_media,high,high,medium,high,Any,synthetic
SYN-0308,405000,gaming,high,high,high,medium,TECNO,synthetic
SYN-0309,236000,gaming,low,medium,high,medium,Any,synthetic
SYN-0310,277000,general,medium,low,medium,high,Any,synthetic
SYN-0311,746000,student,high,high,medium,medium,Any,synthetic
SYN-0312,95000,social_media,high,high,low,medium,Any,synthetic
SYN-0313,173000,work,low,medium,high,medium,itel,synthetic
SYN-0314,251000,camera,high,medium,low,high,Any,synthetic
SYN-0315,147000,general,low,high,medium,low,Any,synthetic
SYN-0316,94000,social_media,medium,low,high,medium,Any,synthetic
SYN-0317,611000,student,medium,medium,medium,high,Any,synthetic
SYN-0318,294000,general,medium,medium,medium,medium,Google Pixel,synthetic
SYN-0319,175000,work,low,high,medium,high,Any,synthetic
SYN-0320,90000,work,low,high,high,medium,Any,synthetic
SYN-0321,1650000,gaming,high,medium,high,high,TECNO,synthetic
SYN-0322,243000,social_media,medium,medium,low,medium,TECNO,synthetic
SYN-0323,113000,gaming,medium,medium,high,low,itel,synthetic
SYN-0324,131000,student,low,high,high,low,Infinix,synthetic
SYN-0325,127000,camera,high,medium,medium,medium,Any,synthetic
SYN-0326,226000,student,medium,high,high,high,Infinix,synthetic
SYN-0327,418000,social_media,high,high,high,low,Any,synthetic
SYN-0328,767000,work,low,high,high,high,Any,synthetic
SYN-0329,452000,student,high,low,high,medium,Any,synthetic
SYN-0330,600000,student,high,high,high,high,TECNO,synthetic
SYN-0331,588000,social_media,low,high,high,high,TECNO,synthetic
SYN-0332,1375000,work,high,high,high,medium,Any,synthetic
SYN-0333,253000,general,low,medium,medium,medium,Infinix,synthetic
SYN-0334,145000,work,medium,low,low,high,Xiaomi,synthetic
SYN-0335,171000,social_media,high,high,low,high,Any,synthetic
SYN-0336,1083000,camera,high,medium,medium,low,Infinix,synthetic
SYN-0337,79000,general,medium,high,low,high,Any,synthetic
SYN-0338,666000,student,medium,high,medium,medium,Any,synthetic
SYN-0339,228000,work,low,high,medium,high,Infinix,synthetic
SYN-0340,716000,student,low,medium,low,medium,Samsung,synthetic
SYN-0341,123000,work,low,high,low,medium,Any,synthetic
SYN-0342,1378000,general,low,medium,high,medium,Any,synthetic
SYN-0343,286000,social_media,medium,high,low,medium,itel,synthetic
SYN-0344,1390000,social_media,high,medium,low,high,TECNO,synthetic
SYN-0345,490000,work,high,low,medium,high,Oppo,synthetic
SYN-0346,104000,gaming,medium,high,high,low,Apple,synthetic
SYN-0347,137000,student,low,high,medium,high,Infinix,synthetic
SYN-0348,282000,general,low,medium,medium,low,TECNO,synthetic
SYN-0349,246000,gaming,medium,high,medium,high,Infinix,synthetic
SYN-0350,464000,gaming,high,high,low,medium,Any,synthetic
SYN-0351,152000,work,low,medium,high,high,Any,synthetic
SYN-0352,125000,general,high,low,medium,high,itel,synthetic
SYN-0353,71000,gaming,high,high,low,medium,Any,synthetic
SYN-0354,61000,general,low,high,medium,medium,Any,synthetic
SYN-0355,249000,student,medium,high,medium,medium,TECNO,synthetic
SYN-0356,181000,general,low,high,high,high,TECNO,synthetic
SYN-0357,394000,social_media,low,high,high,high,Any,synthetic
SYN-0358,852000,gaming,medium,medium,medium,low,Any,synthetic
SYN-0359,191000,social_media,high,high,high,low,Samsung,synthetic
SYN-0360,287000,camera,high,medium,high,high,Any,synthetic
SYN-0361,1148000,social_media,medium,low,medium,medium,Infinix,synthetic
SYN-0362,251000,social_media,low,medium,high,medium,Any,synthetic
SYN-0363,234000,social_media,high,high,high,medium,Any,synthetic
SYN-0364,756000,general,low,high,low,high,Google Pixel,synthetic
SYN-0365,188000,camera,high,medium,low,medium,Google Pixel,synthetic
SYN-0366,719000,social_media,medium,high,medium,high,Any,synthetic
SYN-0367,102000,social_media,high,medium,medium,medium,Infinix,synthetic
SYN-0368,471000,camera,high,high,high,medium,Oppo,synthetic
SYN-0369,344000,gaming,medium,high,high,low,Any,synthetic
SYN-0370,284000,work,low,high,medium,high,Any,synthetic
SYN-0371,128000,social_media,medium,medium,high,high,Apple,synthetic
SYN-0372,115000,general,high,medium,medium,medium,Any,synthetic
SYN-0373,142000,general,low,medium,low,low,Any,synthetic
SYN-0374,121000,social_media,medium,high,high,medium,Xiaomi,synthetic
SYN-0375,356000,work,medium,high,high,high,Any,synthetic
SYN-0376,766000,work,medium,low,medium,medium,Infinix,synthetic
SYN-0377,66000,student,high,high,medium,high,Any,synthetic
SYN-0378,370000,work,high,medium,high,low,Infinix,synthetic
SYN-0379,71000,gaming,high,low,high,medium,Any,synthetic
SYN-0380,78000,work,low,medium,high,low,Infinix,synthetic
SYN-0381,119000,gaming,high,high,high,medium,Oppo,synthetic
SYN-0382,84000,student,low,medium,high,medium,Samsung,synthetic
SYN-0383,432000,student,low,high,high,medium,Any,synthetic
SYN-0384,829000,student,low,high,low,high,TECNO,synthetic
SYN-0385,712000,work,low,high,high,medium,TECNO,synthetic
SYN-0386,71000,camera,high,medium,low,low,Infinix,synthetic
SYN-0387,296000,general,high,high,high,medium,Any,synthetic
SYN-0388,226000,general,medium,high,low,high,Any,synthetic
SYN-0389,494000,camera,high,low,high,high,Any,synthetic
SYN-0390,214000,general,medium,medium,low,high,Any,synthetic
SYN-0391,169000,student,high,medium,medium,medium,TECNO,synthetic
SYN-0392,575000,student,medium,high,high,high,TECNO,synthetic
SYN-0393,76000,social_media,low,medium,low,medium,Any,synthetic
SYN-0394,380000,student,low,high,low,medium,Any,synthetic
SYN-0395,78000,camera,high,high,high,high,TECNO,synthetic
SYN-0396,680000,student,high,medium,high,high,Infinix,synthetic
SYN-0397,1603000,social_media,high,high,medium,low,Any,synthetic
SYN-0398,209000,gaming,low,medium,high,low,Any,synthetic
SYN-0399,328000,gaming,medium,medium,high,low,Any,synthetic
SYN-0400,424000,general,medium,low,low,high,Any,synthetic
SYN-0401,422000,camera,high,low,medium,high,TECNO,synthetic
SYN-0402,241000,general,low,high,low,high,Any,synthetic
SYN-0403,381000,gaming,low,high,medium,medium,Infinix,synthetic
SYN-0404,423000,general,high,low,medium,medium,Any,synthetic
SYN-0405,127000,camera,high,medium,low,medium,Any,synthetic
SYN-0406,1729000,general,medium,medium,high,low,Any,synthetic
SYN-0407,142000,general,low,medium,low,low,Samsung,synthetic
SYN-0408,259000,social_media,high,high,low,high,Any,synthetic
SYN-0409,224000,social_media,medium,high,medium,medium,Samsung,synthetic
SYN-0410,93000,camera,high,medium,medium,low,Any,synthetic
SYN-0411,510000,gaming,high,high,high,medium,itel,synthetic
SYN-0412,247000,student,high,low,high,medium,Any,synthetic
SYN-0413,113000,camera,high,medium,low,low,TECNO,synthetic
SYN-0414,248000,general,low,low,low,low,Infinix,synthetic
SYN-0415,444000,social_media,high,high,high,low,Xiaomi,synthetic
SYN-0416,230000,gaming,medium,medium,high,high,Any,synthetic
SYN-0417,1028000,student,medium,high,high,high,itel,synthetic
SYN-0418,134000,work,medium,medium,high,high,itel,synthetic
SYN-0419,387000,gaming,medium,medium,high,low,Samsung,synthetic
SYN-0420,214000,student,high,high,medium,high,Any,synthetic
SYN-0421,61000,student,low,high,low,medium,Any,synthetic
SYN-0422,79000,gaming,medium,medium,medium,low,TECNO,synthetic
SYN-0423,1231000,student,medium,medium,medium,medium,Any,synthetic
SYN-0424,340000,social_media,medium,high,medium,low,Any,synthetic
SYN-0425,289000,work,medium,high,high,medium,Infinix,synthetic
SYN-0426,105000,social_media,high,low,high,low,itel,synthetic
SYN-0427,566000,work,high,high,high,high,Any,synthetic
SYN-0428,561000,general,low,low,medium,medium,Any,synthetic
SYN-0429,639000,camera,medium,medium,high,high,Samsung,synthetic
SYN-0430,616000,social_media,high,high,low,medium,Any,synthetic
SYN-0431,298000,work,low,high,low,high,Any,synthetic
SYN-0432,160000,camera,high,medium,high,medium,Any,synthetic
SYN-0433,274000,camera,high,medium,medium,low,itel,synthetic
SYN-0434,232000,general,medium,medium,medium,high,TECNO,synthetic
SYN-0435,448000,camera,medium,low,high,high,TECNO,synthetic
SYN-0436,386000,general,high,high,medium,high,Any,synthetic
SYN-0437,354000,gaming,low,medium,medium,low,Any,synthetic
SYN-0438,449000,student,medium,high,low,medium,Samsung,synthetic
SYN-0439,232000,social_media,high,high,high,low,Xiaomi,synthetic
SYN-0440,122000,student,low,high,low,high,Any,synthetic
SYN-0441,2286000,gaming,high,high,medium,low,Any,synthetic
SYN-0442,139000,work,low,medium,low,high,Any,synthetic
SYN-0443,106000,student,high,medium,medium,low,Any,synthetic
SYN-0444,493000,camera,high,high,high,high,Samsung,synthetic
